class;TP;FP;FN;TN;precision;recall;specificity;f1;support
airplane;641;302;365;8692;0.6797;0.6372;0.9664;0.6578;1006
automobile;848;473;152;8527;0.6419;0.848;0.9474;0.7307;1000
bird;541;560;475;8424;0.4914;0.5325;0.9377;0.5111;1016
cat;459;534;572;8435;0.4622;0.4452;0.9405;0.4536;1031
deer;525;287;459;8729;0.6466;0.5335;0.9682;0.5846;984
dog;539;512;437;8512;0.5128;0.5523;0.9433;0.5318;976
frog;714;330;265;8691;0.6839;0.7293;0.9634;0.7059;979
horse;587;167;419;8827;0.7785;0.5835;0.9814;0.667;1006
ship;756;342;220;8682;0.6885;0.7746;0.9621;0.729;976
truck;649;234;377;8740;0.735;0.6326;0.9739;0.6799;1026
;;;;;;;;;
SUMMARY;;;;;0.6321;0.6269;;0.6251;10000
